#Rfam_ID	Name	Description
RF01795	FourU	FourU thermometer RNA element 			
RF02358	hsp17	Hsp17 thermometer 			
RF01832	ROSE_2	Repression of heat shock gene expression ROSE element 			
RF02523	ROSE_3	Repression of heat shock gene expression ROSE element 			
RF00038	PrfA	PrfA thermoregulator UTR 			
RF00433	Hsp90_CRE	Hsp90 cis regulatory element 			
RF00435	ROSE	Repression of heat shock gene expression ROSE element 			
RF01766	cspA	cspA thermoregulator 			
RF01859	Phe_leader	Phenylalanine leader peptide 			
RF01804	Lambda_thermo	Lambda phage CIII thermoregulator element 	
